year,round,airtemp_mean,airtemp_min,airtemp_max,tracktemp_mean,humidity_mean,pressure_mean,windspeed_mean,rainfall_any
2021,1,20.538345864661654,20.4,20.9,27.627819548872182,54.51729323308271,1014.9105263157895,0.8872180451127819,False
2021,2,10.621118012422361,9.2,12.3,16.827329192546582,69.4888198757764,1011.2527950310559,0.4788819875776397,True
2021,3,19.392537313432836,18.1,20.0,38.950746268656715,39.40373134328358,1004.8134328358209,0.8373134328358209,False
2021,4,22.203076923076924,21.3,23.5,32.92230769230769,57.55307692307692,993.5746153846154,0.4576923076923077,False
2021,5,20.76074074074074,20.3,21.5,37.595555555555556,61.42444444444444,1015.5711111111111,0.3162962962962963,False
2021,6,24.17093023255814,22.9,25.5,38.31453488372093,55.80523255813954,1014.7308139534885,0.2837209302325581,False
2021,7,25.314400000000003,23.8,27.4,35.2288,58.6304,960.6376,1.1656,False
2021,8,26.69237288135593,26.0,27.3,52.35254237288136,33.246610169491525,938.4771186440678,0.3677966101694915,False
2021,10,29.400000000000002,28.4,30.1,50.93152173913043,37.202173913043474,1007.2461956521738,0.3179347826086957,False
2021,11,27.22670157068063,25.7,29.1,37.822513089005234,68.61570680628273,977.630890052356,0.5675392670157068,True
2021,12,13.012413793103448,12.4,13.4,15.258620689655173,96.43586206896552,970.221724137931,0.5113793103448276,True
2021,13,21.504430379746836,20.4,22.4,36.10569620253165,54.108227848101265,1021.5056962025316,0.44240506329113927,False
2021,14,28.885234899328857,27.8,29.6,43.52751677852349,33.2758389261745,994.4879194630873,0.3429530201342282,False
2021,15,19.13860759493671,17.4,19.5,21.756962025316454,61.947468354430384,1023.131012658228,0.29050632911392404,True
2021,16,15.82547770700637,15.5,16.1,18.180891719745222,93.5248407643312,1006.4101910828025,0.4866242038216561,False
2021,17,28.148447204968942,26.4,29.5,37.47080745341615,61.192546583850934,992.1298136645962,0.8540372670807453,False
2021,18,21.20670731707317,19.2,23.2,47.579268292682926,31.2109756097561,784.2134146341464,0.36646341463414633,False
2021,19,23.1373417721519,22.5,24.0,51.56139240506329,60.10126582278481,926.9303797468355,0.39177215189873416,False
2021,20,26.415131578947367,26.0,27.4,30.60328947368421,75.54013157894737,1012.3072368421053,0.42302631578947364,True
2021,21,28.816062176165804,28.5,29.2,31.68497409326425,76.20310880829015,1013.7974093264248,0.27150259067357513,False
2022,1,23.617791411042944,22.3,25.7,28.61042944785276,29.49079754601227,1010.3858895705521,0.3049079754601227,False
2022,2,25.420394736842105,25.3,25.6,28.40921052631579,59.66447368421053,1012.7776315789474,2.3592105263157896,False
2022,3,26.6974358974359,25.8,27.4,37.40833333333333,43.65384615384615,1014.2461538461538,1.8128205128205128,False
2022,4,12.899367088607594,11.1,14.2,17.41898734177215,83.17088607594937,1001.0386075949367,1.4822784810126581,False
2022,5,30.617283950617285,29.4,32.3,42.81975308641975,58.858024691358025,1009.3049382716049,2.267283950617284,True
2022,6,36.56585365853659,35.9,37.2,48.957317073170735,7.109756097560975,996.0158536585366,3.488414634146342,False
2022,7,22.27469387755102,20.9,24.3,31.038367346938774,75.66530612244898,1002.9922448979592,0.990204081632653,True
2022,8,25.435403726708074,24.9,26.1,47.14968944099379,59.49068322981366,1009.9012422360249,1.529192546583851,False
2022,9,20.762962962962963,18.8,22.3,41.26111111111111,28.925925925925927,1012.4012345679013,3.552469135802469,False
2022,10,18.25320197044335,17.5,19.2,30.026108374384236,59.748768472906406,1002.3581280788178,1.4561576354679804,True
2022,11,20.255921052631578,19.7,21.1,30.74671052631579,35.13815789473684,939.7125,1.2552631578947369,False
2022,12,30.16484375,29.1,30.8,54.46171875,47.734375,967.9078125,1.94609375,False
2022,13,18.559880239520957,17.8,19.4,26.720958083832333,69.31736526946108,985.5814371257485,4.0341317365269465,True
2022,14,21.78717948717949,20.7,22.5,36.08397435897436,40.51923076923077,971.0519230769231,1.5192307692307692,False
2022,15,22.73006134969325,22.3,23.3,33.44601226993865,75.38036809815951,1017.1098159509202,1.061963190184049,False
2022,16,27.73469387755102,26.4,28.5,43.13877551020408,33.14965986394558,993.3401360544218,1.3612244897959183,False
2022,17,26.232549019607845,24.3,27.7,28.973333333333333,87.44705882352942,1008.1439215686275,0.9298039215686275,True
2022,18,16.71764705882353,15.8,19.0,19.930588235294117,86.21176470588236,1015.706274509804,2.04078431372549,True
2022,19,29.28529411764706,28.3,30.7,35.523529411764706,49.62352941176471,991.1994117647058,5.487058823529411,False
2022,20,24.312727272727273,22.8,25.5,41.68909090909091,34.442424242424245,780.4072727272727,1.336969696969697,False
2022,21,23.010778443113775,20.9,25.1,46.049101796407186,76.07784431137725,922.1604790419161,1.444311377245509,False
2022,22,28.57548387096774,27.8,29.7,34.31032258064516,61.68387096774194,1013.5206451612904,2.6083870967741936,False
2023,1,27.43167701863354,26.2,29.8,31.01180124223602,21.496894409937887,1016.8639751552795,0.6832298136645962,False
2023,2,26.09189189189189,25.8,26.4,31.79256756756757,57.79054054054054,1010.9297297297297,1.7722972972972975,False
2023,3,17.449549549549552,16.8,18.1,30.13963963963964,54.15765765765766,1018.3666666666667,1.127027027027027,False
2023,4,24.860625,23.9,25.6,41.21,49.225,1008.64625,1.0831250000000001,False
2023,5,27.11741935483871,26.6,27.8,36.689032258064515,59.42580645161291,1018.3787096774195,3.970322580645161,False
2023,6,25.06590909090909,23.0,26.3,39.25568181818182,45.86363636363637,1013.3596590909091,1.0056818181818181,True
2023,7,22.674025974025977,21.5,24.7,33.83896103896104,63.077922077922075,1001.0909090909091,1.8694805194805197,False
2023,8,18.530246913580246,17.0,19.5,30.593209876543213,63.901234567901234,1011.5524691358024,1.9419753086419755,False
2023,9,22.398039215686275,21.5,23.2,32.05424836601307,52.04575163398693,934.0156862745098,1.0973856209150328,True
2023,10,21.473509933774835,20.0,22.5,30.94105960264901,56.18543046357616,1001.2258278145696,3.023841059602649,False
2023,11,28.808536585365857,27.7,29.6,48.579268292682926,32.80487804878049,988.4018292682927,1.4408536585365854,False
2023,12,17.873333333333335,16.8,19.2,28.24066666666667,61.92666666666667,966.6273333333334,1.5946666666666667,True
2023,13,16.791866028708135,14.6,18.4,24.94114832535885,70.77511961722487,1007.8244019138756,2.8215311004784693,True
2023,14,29.330128205128204,28.4,30.3,42.92820512820513,42.32051282051282,1000.5615384615385,1.13974358974359,False
2023,15,29.844318181818185,29.4,30.2,36.42215909090909,72.0284090909091,1008.9784090909092,1.4159090909090908,False
2023,16,27.28860759493671,26.9,27.7,42.070253164556966,42.31645569620253,1012.9335443037975,1.8297468354430382,False
2023,17,31.46289308176101,30.8,32.3,36.93207547169811,73.15723270440252,1009.7748427672957,0.889937106918239,False
2023,18,29.96011904761905,28.5,31.0,40.62857142857143,41.910714285714285,993.7309523809523,3.314285714285714,False
2023,19,25.54736842105263,24.1,26.9,45.63947368421053,23.55263157894737,779.5205263157894,1.4900000000000002,False
2023,20,20.460109289617485,19.6,21.1,46.775956284153004,58.17486338797814,927.9005464480873,1.3092896174863389,True
2023,21,18.05,17.9,18.2,17.994444444444444,47.361111111111114,939.7814814814815,2.300925925925926,False
2023,22,26.96282051282051,26.3,27.7,33.46089743589744,51.0,1014.9275641025641,1.794871794871795,False
