delta,finish_position,grid,rainfall_any,team_name,driverId,constructorId,raceId,round,year,y_true,y_pred,error,abs_delta,finish_group,abs_delta_bin
-5,1,6,1,Red Bull       ,830,9,1110,12,2023,0,1,1,5.0,Top 5,2-5
0,2,2,1,Red Bull       ,815,9,1110,12,2023,1,1,0,0.0,Top 5,<=2
2,3,1,1,Ferrari        ,844,6,1110,12,2023,1,1,0,2.0,Top 5,<=2
1,4,3,1,Mercedes       ,1,131,1110,12,2023,1,1,0,1.0,Top 5,<=2
-4,5,9,1,Aston Martin   ,4,117,1110,12,2023,0,1,1,4.0,Top 5,2-5
-2,6,8,1,Mercedes       ,847,131,1110,12,2023,1,0,1,2.0,6-10,<=2
0,7,7,1,McLaren        ,846,1,1110,12,2023,1,1,0,0.0,6-10,<=2
-6,8,14,1,Alpine F1 Team ,839,214,1110,12,2023,0,1,1,6.0,6-10,5-10
-1,9,10,1,Aston Martin   ,840,117,1110,12,2023,1,1,0,1.0,6-10,<=2
-1,10,11,1,AlphaTauri     ,852,213,1110,12,2023,1,1,0,1.0,6-10,<=2
-1,11,12,1,Alpine F1 Team ,842,214,1110,12,2023,1,1,0,1.0,11-15,<=2
-1,12,13,1,Alfa Romeo     ,822,51,1110,12,2023,1,1,0,1.0,11-15,<=2
-4,13,17,1,Alfa Romeo     ,855,51,1110,12,2023,0,0,0,4.0,11-15,2-5
-1,14,15,1,Williams       ,848,3,1110,12,2023,1,1,0,1.0,11-15,<=2
-1,15,16,1,Haas F1 Team   ,825,210,1110,12,2023,1,1,0,1.0,11-15,<=2
-3,16,19,1,AlphaTauri     ,817,213,1110,12,2023,0,1,1,3.0,16+,2-5
-1,17,18,1,Williams       ,858,3,1110,12,2023,1,0,1,1.0,16+,<=2
18,18,0,1,Haas F1 Team   ,807,210,1110,12,2023,2,2,0,18.0,16+,10-30
15,19,4,1,Ferrari        ,832,6,1110,12,2023,2,1,1,15.0,16+,10-30
15,20,5,1,McLaren        ,857,1,1110,12,2023,2,1,1,15.0,16+,10-30
0,1,1,1,Red Bull       ,830,9,1111,13,2023,1,1,0,0.0,Top 5,<=2
-3,2,5,1,Aston Martin   ,4,117,1111,13,2023,0,1,1,3.0,Top 5,2-5
-9,3,12,1,Alpine F1 Team ,842,214,1111,13,2023,0,1,1,9.0,Top 5,5-10
-3,4,7,1,Red Bull       ,815,9,1111,13,2023,0,1,1,3.0,Top 5,2-5
-1,5,6,1,Ferrari        ,832,6,1111,13,2023,1,1,0,1.0,Top 5,<=2
-7,6,13,1,Mercedes       ,1,131,1111,13,2023,0,0,0,7.0,6-10,5-10
5,7,2,1,McLaren        ,846,1,1111,13,2023,2,1,1,5.0,6-10,2-5
4,8,4,1,Williams       ,848,3,1111,13,2023,2,2,0,4.0,6-10,2-5
1,9,8,1,McLaren        ,857,1,1111,13,2023,1,2,1,1.0,6-10,<=2
-6,10,16,1,Alpine F1 Team ,839,214,1111,13,2023,0,1,1,6.0,6-10,5-10
0,11,11,1,Aston Martin   ,840,117,1111,13,2023,1,1,0,0.0,11-15,<=2
-2,12,14,1,Haas F1 Team   ,807,210,1111,13,2023,1,1,0,2.0,11-15,<=2
-6,13,19,1,AlphaTauri     ,859,213,1111,13,2023,0,0,0,6.0,11-15,5-10
-4,14,18,1,Alfa Romeo     ,822,51,1111,13,2023,0,0,0,4.0,11-15,2-5
-2,15,17,1,AlphaTauri     ,852,213,1111,13,2023,1,1,0,2.0,11-15,<=2
16,16,0,1,Haas F1 Team   ,825,210,1111,13,2023,2,2,0,16.0,16+,10-30
14,17,3,1,Mercedes       ,847,131,1111,13,2023,2,1,1,14.0,16+,10-30
3,18,15,1,Alfa Romeo     ,855,51,1111,13,2023,2,1,1,3.0,16+,2-5
10,19,9,1,Ferrari        ,844,6,1111,13,2023,2,1,1,10.0,16+,5-10
10,20,10,1,Williams       ,858,3,1111,13,2023,2,1,1,10.0,16+,5-10
-1,1,2,0,Red Bull       ,830,9,1112,14,2023,1,1,0,1.0,Top 5,<=2
-3,2,5,0,Red Bull       ,815,9,1112,14,2023,0,1,1,3.0,Top 5,2-5
2,3,1,0,Ferrari        ,832,6,1112,14,2023,1,1,0,2.0,Top 5,<=2
1,4,3,0,Ferrari        ,844,6,1112,14,2023,1,1,0,1.0,Top 5,<=2
1,5,4,0,Mercedes       ,847,131,1112,14,2023,1,1,0,1.0,Top 5,<=2
-2,6,8,0,Mercedes       ,1,131,1112,14,2023,1,0,1,2.0,6-10,<=2
1,7,6,0,Williams       ,848,3,1112,14,2023,1,2,1,1.0,6-10,<=2
-1,8,9,0,McLaren        ,846,1,1112,14,2023,1,1,0,1.0,6-10,<=2
-1,9,10,0,Aston Martin   ,4,117,1112,14,2023,1,1,0,1.0,6-10,<=2
-4,10,14,0,Alfa Romeo     ,822,51,1112,14,2023,0,1,1,4.0,6-10,2-5
-1,11,12,0,AlphaTauri     ,859,213,1112,14,2023,1,1,0,1.0,11-15,<=2
5,12,7,0,McLaren        ,857,1,1112,14,2023,2,1,1,5.0,11-15,2-5
-2,13,15,0,Williams       ,858,3,1112,14,2023,1,1,0,2.0,11-15,<=2
-2,14,16,0,Alfa Romeo     ,855,51,1112,14,2023,1,1,0,2.0,11-15,<=2
-2,15,17,0,Alpine F1 Team ,842,214,1112,14,2023,1,0,1,2.0,11-15,<=2
-4,16,20,0,Aston Martin   ,840,117,1112,14,2023,0,0,0,4.0,16+,2-5
4,17,13,0,Haas F1 Team   ,807,210,1112,14,2023,2,1,1,4.0,16+,2-5
-1,18,19,0,Haas F1 Team   ,825,210,1112,14,2023,1,0,1,1.0,16+,<=2
1,19,18,0,Alpine F1 Team ,839,214,1112,14,2023,1,0,1,1.0,16+,<=2
9,20,11,0,AlphaTauri     ,852,213,1112,14,2023,2,2,0,9.0,16+,5-10
0,1,1,0,Ferrari        ,832,6,1113,15,2023,1,1,0,0.0,Top 5,<=2
-2,2,4,0,McLaren        ,846,1,1113,15,2023,1,1,0,2.0,Top 5,<=2
-2,3,5,0,Mercedes       ,1,131,1113,15,2023,1,1,0,2.0,Top 5,<=2
1,4,3,0,Ferrari        ,844,6,1113,15,2023,1,1,0,1.0,Top 5,<=2
-6,5,11,0,Red Bull       ,830,9,1113,15,2023,0,0,0,6.0,Top 5,5-10
-6,6,12,0,Alpine F1 Team ,842,214,1113,15,2023,0,0,0,6.0,6-10,5-10
-10,7,17,0,McLaren        ,857,1,1113,15,2023,0,0,0,10.0,6-10,5-10
-5,8,13,0,Red Bull       ,815,9,1113,15,2023,0,0,0,5.0,6-10,2-5
-1,9,10,0,AlphaTauri     ,859,213,1113,15,2023,1,1,0,1.0,6-10,<=2
4,10,6,0,Haas F1 Team   ,825,210,1113,15,2023,2,2,0,4.0,6-10,2-5
-3,11,14,0,Williams       ,848,3,1113,15,2023,0,1,1,3.0,11-15,2-5
12,12,0,0,Alfa Romeo     ,855,51,1113,15,2023,2,2,0,12.0,11-15,10-30
4,13,9,0,Haas F1 Team   ,807,210,1113,15,2023,2,2,0,4.0,11-15,2-5
-4,14,18,0,Williams       ,858,3,1113,15,2023,0,0,0,4.0,11-15,2-5
8,15,7,0,Aston Martin   ,4,117,1113,15,2023,2,1,1,8.0,11-15,5-10
14,16,2,0,Mercedes       ,847,131,1113,15,2023,2,1,1,14.0,16+,10-30
1,17,16,0,Alfa Romeo     ,822,51,1113,15,2023,1,1,0,1.0,16+,<=2
10,18,8,0,Alpine F1 Team ,839,214,1113,15,2023,2,1,1,10.0,16+,5-10
4,19,15,0,AlphaTauri     ,852,213,1113,15,2023,2,1,1,4.0,16+,2-5
20,20,0,0,Aston Martin   ,840,117,1113,15,2023,2,2,0,20.0,16+,10-30
0,1,1,0,Red Bull       ,830,9,1114,16,2023,1,1,0,0.0,Top 5,<=2
-1,2,3,0,McLaren        ,846,1,1114,16,2023,1,1,0,1.0,Top 5,<=2
1,3,2,0,McLaren        ,857,1,1114,16,2023,1,1,0,1.0,Top 5,<=2
0,4,4,0,Ferrari        ,844,6,1114,16,2023,1,1,0,0.0,Top 5,<=2
-2,5,7,0,Mercedes       ,1,131,1114,16,2023,1,1,0,2.0,Top 5,<=2
0,6,6,0,Ferrari        ,832,6,1114,16,2023,1,1,0,0.0,6-10,<=2
-1,7,8,0,Mercedes       ,847,131,1114,16,2023,1,0,1,1.0,6-10,<=2
-2,8,10,0,Aston Martin   ,4,117,1114,16,2023,1,1,0,2.0,6-10,<=2
-5,9,14,0,Alpine F1 Team ,839,214,1114,16,2023,0,0,0,5.0,6-10,2-5
-2,10,12,0,Alpine F1 Team ,842,214,1114,16,2023,1,0,1,2.0,6-10,<=2
0,11,11,0,AlphaTauri     ,859,213,1114,16,2023,1,1,0,0.0,11-15,<=2
3,12,9,0,AlphaTauri     ,852,213,1114,16,2023,2,2,0,3.0,11-15,2-5
-6,13,19,0,Alfa Romeo     ,855,51,1114,16,2023,0,0,0,6.0,11-15,5-10
-4,14,18,0,Haas F1 Team   ,807,210,1114,16,2023,0,0,0,4.0,11-15,2-5
0,15,15,0,Haas F1 Team   ,825,210,1114,16,2023,1,1,0,0.0,11-15,<=2
3,16,13,0,Williams       ,848,3,1114,16,2023,2,1,1,3.0,16+,2-5
17,17,0,0,Williams       ,858,3,1114,16,2023,2,2,0,17.0,16+,10-30
1,18,17,0,Aston Martin   ,840,117,1114,16,2023,1,0,1,1.0,16+,<=2
14,19,5,0,Red Bull       ,815,9,1114,16,2023,2,1,1,14.0,16+,10-30
4,20,16,0,Alfa Romeo     ,822,51,1114,16,2023,2,1,1,4.0,16+,2-5
0,1,1,0,Red Bull       ,830,9,1115,17,2023,1,1,0,0.0,Top 5,<=2
-4,2,6,0,McLaren        ,857,1,1115,17,2023,0,1,1,4.0,Top 5,2-5
-7,3,10,0,McLaren        ,846,1,1115,17,2023,0,1,1,7.0,Top 5,5-10
2,4,2,0,Mercedes       ,847,131,1115,17,2023,1,1,0,2.0,Top 5,<=2
0,5,5,0,Ferrari        ,844,6,1115,17,2023,1,1,0,0.0,Top 5,<=2
2,6,4,0,Aston Martin   ,4,117,1115,17,2023,1,1,0,2.0,6-10,<=2
-1,7,8,0,Alpine F1 Team ,839,214,1115,17,2023,1,1,0,1.0,6-10,<=2
-1,8,9,0,Alfa Romeo     ,822,51,1115,17,2023,1,1,0,1.0,6-10,<=2
-10,9,19,0,Alfa Romeo     ,855,51,1115,17,2023,0,0,0,10.0,6-10,5-10
10,10,0,0,Red Bull       ,815,9,1115,17,2023,2,1,1,10.0,6-10,5-10
-5,11,16,0,Aston Martin   ,840,117,1115,17,2023,0,0,0,5.0,11-15,2-5
5,12,7,0,Alpine F1 Team ,842,214,1115,17,2023,2,1,1,5.0,11-15,2-5
0,13,13,0,Williams       ,848,3,1115,17,2023,1,1,0,0.0,11-15,<=2
-4,14,18,0,Haas F1 Team   ,825,210,1115,17,2023,0,0,0,4.0,11-15,2-5
4,15,11,0,AlphaTauri     ,852,213,1115,17,2023,2,1,1,4.0,11-15,2-5
2,16,14,0,Haas F1 Team   ,807,210,1115,17,2023,1,1,0,2.0,16+,<=2
0,17,17,0,AlphaTauri     ,859,213,1115,17,2023,1,0,1,0.0,16+,<=2
3,18,15,0,Williams       ,858,3,1115,17,2023,2,1,1,3.0,16+,2-5
16,19,3,0,Mercedes       ,1,131,1115,17,2023,2,1,1,16.0,16+,10-30
8,20,12,0,Ferrari        ,832,6,1115,17,2023,2,0,1,8.0,16+,5-10
-5,1,6,0,Red Bull       ,830,9,1116,18,2023,0,1,1,5.0,Top 5,2-5
0,2,2,0,McLaren        ,846,1,1116,18,2023,1,1,0,0.0,Top 5,<=2
-1,3,4,0,Ferrari        ,832,6,1116,18,2023,1,1,0,1.0,Top 5,<=2
-5,4,9,0,Red Bull       ,815,9,1116,18,2023,0,0,0,5.0,Top 5,2-5
0,5,5,0,Mercedes       ,847,131,1116,18,2023,1,1,0,0.0,Top 5,<=2
-1,6,7,0,Alpine F1 Team ,842,214,1116,18,2023,1,1,0,1.0,6-10,<=2
7,7,0,0,Aston Martin   ,840,117,1116,18,2023,2,2,0,7.0,6-10,5-10
-3,8,11,0,AlphaTauri     ,852,213,1116,18,2023,0,1,1,3.0,6-10,2-5
-6,9,15,0,Williams       ,848,3,1116,18,2023,0,1,1,6.0,6-10,5-10
-6,10,16,0,Williams       ,858,3,1116,18,2023,0,1,1,6.0,6-10,5-10
11,11,0,0,Haas F1 Team   ,807,210,1116,18,2023,2,2,0,11.0,11-15,10-30
-1,12,13,0,Alfa Romeo     ,822,51,1116,18,2023,1,1,0,1.0,11-15,<=2
1,13,12,0,Alfa Romeo     ,855,51,1116,18,2023,1,1,0,1.0,11-15,<=2
14,14,0,0,Haas F1 Team   ,825,210,1116,18,2023,2,2,0,14.0,11-15,10-30
1,15,14,0,AlphaTauri     ,817,213,1116,18,2023,1,1,0,1.0,11-15,<=2
16,16,0,0,Aston Martin   ,4,117,1116,18,2023,2,2,0,16.0,16+,10-30
7,17,10,0,McLaren        ,857,1,1116,18,2023,2,1,1,7.0,16+,5-10
10,18,8,0,Alpine F1 Team ,839,214,1116,18,2023,2,1,1,10.0,16+,5-10
16,19,3,0,Mercedes       ,1,131,1116,18,2023,2,1,1,16.0,16+,10-30
19,20,1,0,Ferrari        ,844,6,1116,18,2023,2,1,1,19.0,16+,10-30
-2,1,3,0,Red Bull       ,830,9,1117,19,2023,1,1,0,2.0,Top 5,<=2
-4,2,6,0,Mercedes       ,1,131,1117,19,2023,0,1,1,4.0,Top 5,2-5
2,3,1,0,Ferrari        ,844,6,1117,19,2023,1,1,0,2.0,Top 5,<=2
2,4,2,0,Ferrari        ,832,6,1117,19,2023,1,1,0,2.0,Top 5,<=2
-12,5,17,0,McLaren        ,846,1,1117,19,2023,0,0,0,12.0,Top 5,10-30
-2,6,8,0,Mercedes       ,847,131,1117,19,2023,1,0,1,2.0,6-10,<=2
3,7,4,0,AlphaTauri     ,817,213,1117,19,2023,2,2,0,3.0,6-10,2-5
1,8,7,0,McLaren        ,857,1,1117,19,2023,1,1,0,1.0,6-10,<=2
-5,9,14,0,Williams       ,848,3,1117,19,2023,0,1,1,5.0,6-10,2-5
-5,10,15,0,Alpine F1 Team ,839,214,1117,19,2023,0,0,0,5.0,6-10,2-5
0,11,11,0,Alpine F1 Team ,842,214,1117,19,2023,1,1,0,0.0,11-15,<=2
-6,12,18,0,AlphaTauri     ,852,213,1117,19,2023,0,0,0,6.0,11-15,5-10
1,13,12,0,Haas F1 Team   ,807,210,1117,19,2023,1,1,0,1.0,11-15,<=2
4,14,10,0,Alfa Romeo     ,855,51,1117,19,2023,2,1,1,4.0,11-15,2-5
6,15,9,0,Alfa Romeo     ,822,51,1117,19,2023,2,1,1,6.0,11-15,5-10
-3,16,19,0,Williams       ,858,3,1117,19,2023,0,0,0,3.0,16+,2-5
17,17,0,0,Aston Martin   ,840,117,1117,19,2023,2,2,0,17.0,16+,10-30
5,18,13,0,Aston Martin   ,4,117,1117,19,2023,2,0,1,5.0,16+,2-5
3,19,16,0,Haas F1 Team   ,825,210,1117,19,2023,2,1,1,3.0,16+,2-5
15,20,5,0,Red Bull       ,815,9,1117,19,2023,2,1,1,15.0,16+,10-30
0,1,1,1,Red Bull       ,830,9,1118,20,2023,1,1,0,0.0,Top 5,<=2
-4,2,6,1,McLaren        ,846,1,1118,20,2023,0,2,1,4.0,Top 5,2-5
-1,3,4,1,Aston Martin   ,4,117,1118,20,2023,1,1,0,1.0,Top 5,<=2
-5,4,9,1,Red Bull       ,815,9,1118,20,2023,0,0,0,5.0,Top 5,2-5
2,5,3,1,Aston Martin   ,840,117,1118,20,2023,1,1,0,2.0,Top 5,<=2
-1,6,7,1,Ferrari        ,832,6,1118,20,2023,1,1,0,1.0,6-10,<=2
-8,7,15,1,Alpine F1 Team ,842,214,1118,20,2023,0,0,0,8.0,6-10,5-10
3,8,5,1,Mercedes       ,1,131,1118,20,2023,2,1,1,3.0,6-10,2-5
-7,9,16,1,AlphaTauri     ,852,213,1118,20,2023,0,1,1,7.0,6-10,5-10
-4,10,14,1,Alpine F1 Team ,839,214,1118,20,2023,0,0,0,4.0,6-10,2-5
-8,11,19,1,Williams       ,858,3,1118,20,2023,0,0,0,8.0,11-15,5-10
1,12,11,1,Haas F1 Team   ,807,210,1118,20,2023,1,1,0,1.0,11-15,<=2
-4,13,17,1,AlphaTauri     ,817,213,1118,20,2023,0,0,0,4.0,11-15,2-5
4,14,10,1,McLaren        ,857,1,1118,20,2023,2,1,1,4.0,11-15,2-5
7,15,8,1,Mercedes       ,847,131,1118,20,2023,2,0,1,7.0,11-15,5-10
-2,16,18,1,Alfa Romeo     ,822,51,1118,20,2023,1,0,1,2.0,16+,<=2
-3,17,20,1,Alfa Romeo     ,855,51,1118,20,2023,0,0,0,3.0,16+,2-5
6,18,12,1,Haas F1 Team   ,825,210,1118,20,2023,2,1,1,6.0,16+,5-10
6,19,13,1,Williams       ,848,3,1118,20,2023,2,1,1,6.0,16+,5-10
20,20,0,1,Ferrari        ,844,6,1118,20,2023,2,1,1,20.0,16+,10-30
-1,1,2,0,Red Bull       ,830,9,1119,21,2023,1,1,0,1.0,Top 5,<=2
1,2,1,0,Ferrari        ,844,6,1119,21,2023,1,1,0,1.0,Top 5,<=2
-8,3,11,0,Red Bull       ,815,9,1119,21,2023,0,0,0,8.0,Top 5,5-10
-12,4,16,0,Alpine F1 Team ,839,214,1119,21,2023,0,1,1,12.0,Top 5,10-30
-14,5,19,0,Aston Martin   ,840,117,1119,21,2023,0,0,0,14.0,Top 5,10-30
-6,6,12,0,Ferrari        ,832,6,1119,21,2023,0,0,0,6.0,6-10,5-10
-3,7,10,0,Mercedes       ,1,131,1119,21,2023,0,0,0,3.0,6-10,2-5
5,8,3,0,Mercedes       ,847,131,1119,21,2023,2,1,1,5.0,6-10,2-5
0,9,9,0,Aston Martin   ,4,117,1119,21,2023,1,1,0,0.0,6-10,<=2
-8,10,18,0,McLaren        ,857,1,1119,21,2023,0,0,0,8.0,6-10,5-10
7,11,4,0,Alpine F1 Team ,842,214,1119,21,2023,2,1,1,7.0,11-15,5-10
7,12,5,0,Williams       ,848,3,1119,21,2023,2,2,0,7.0,11-15,5-10
5,13,8,0,Haas F1 Team   ,825,210,1119,21,2023,2,2,0,5.0,11-15,2-5
0,14,14,0,AlphaTauri     ,817,213,1119,21,2023,1,1,0,0.0,11-15,<=2
-2,15,17,0,Alfa Romeo     ,855,51,1119,21,2023,1,1,0,2.0,11-15,<=2
10,16,6,0,Williams       ,858,3,1119,21,2023,2,2,0,10.0,16+,5-10
10,17,7,0,Alfa Romeo     ,822,51,1119,21,2023,2,2,0,10.0,16+,5-10
-2,18,20,0,AlphaTauri     ,852,213,1119,21,2023,1,1,0,2.0,16+,<=2
6,19,13,0,Haas F1 Team   ,807,210,1119,21,2023,2,1,1,6.0,16+,5-10
5,20,15,0,McLaren        ,846,1,1119,21,2023,2,0,1,5.0,16+,2-5
0,1,1,0,Red Bull       ,830,9,1120,22,2023,1,1,0,0.0,Top 5,<=2
0,2,2,0,Ferrari        ,844,6,1120,22,2023,1,1,0,0.0,Top 5,<=2
-1,3,4,0,Mercedes       ,847,131,1120,22,2023,1,1,0,1.0,Top 5,<=2
-5,4,9,0,Red Bull       ,815,9,1120,22,2023,0,0,0,5.0,Top 5,2-5
0,5,5,0,McLaren        ,846,1,1120,22,2023,1,1,0,0.0,Top 5,<=2
3,6,3,0,McLaren        ,857,1,1120,22,2023,2,1,1,3.0,6-10,2-5
0,7,7,0,Aston Martin   ,4,117,1120,22,2023,1,1,0,0.0,6-10,<=2
2,8,6,0,AlphaTauri     ,852,213,1120,22,2023,1,2,1,2.0,6-10,<=2
-2,9,11,0,Mercedes       ,1,131,1120,22,2023,1,0,1,2.0,6-10,<=2
-3,10,13,0,Aston Martin   ,840,117,1120,22,2023,0,0,0,3.0,6-10,2-5
-4,11,15,0,AlphaTauri     ,817,213,1120,22,2023,0,1,1,4.0,11-15,2-5
0,12,12,0,Alpine F1 Team ,839,214,1120,22,2023,1,0,1,0.0,11-15,<=2
3,13,10,0,Alpine F1 Team ,842,214,1120,22,2023,2,1,1,3.0,11-15,2-5
0,14,14,0,Williams       ,848,3,1120,22,2023,1,1,0,0.0,11-15,<=2
7,15,8,0,Haas F1 Team   ,807,210,1120,22,2023,2,2,0,7.0,11-15,5-10
-4,16,20,0,Williams       ,858,3,1120,22,2023,0,0,0,4.0,16+,2-5
-2,17,19,0,Alfa Romeo     ,855,51,1120,22,2023,1,0,1,2.0,16+,<=2
2,18,16,0,Ferrari        ,832,6,1120,22,2023,1,0,1,2.0,16+,<=2
1,19,18,0,Alfa Romeo     ,822,51,1120,22,2023,1,0,1,1.0,16+,<=2
3,20,17,0,Haas F1 Team   ,825,210,1120,22,2023,2,1,1,3.0,16+,2-5
